PassengerId,Survived
892,0
893,1
894,1
895,1
896,0
897,0
898,0
899,0
900,1
901,1
902,1
903,1
904,0
905,0
906,0
907,1
908,0
909,0
910,0
911,1
912,0
913,1
914,1
915,0
916,0
917,1
918,0
919,0
920,1
921,0
922,0
923,1
924,1
925,0
926,0
927,0
928,0
929,0
930,0
931,1
932,0
933,0
934,0
935,1
936,1
937,0
938,0
939,1
940,0
941,0
942,0
943,0
944,1
945,1
946,0
947,0
948,1
949,0
950,1
951,0
952,0
953,1
954,0
955,0
956,0
957,0
958,1
959,0
960,1
961,0
962,0
963,0
964,0
965,0
966,1
967,0
968,0
969,0
970,1
971,1
972,0
973,1
974,1
975,0
976,1
977,1
978,0
979,0
980,1
981,0
982,0
983,0
984,0
985,0
986,0
987,0
988,0
989,1
990,1
991,0
992,0
993,0
994,0
995,0
996,0
997,0
998,1
999,1
1000,0
1001,1
1002,0
1003,0
1004,0
1005,0
1006,0
1007,0
1008,0
1009,0
1010,0
1011,0
1012,0
1013,0
1014,0
1015,1
1016,0
1017,1
1018,0
1019,1
1020,1
1021,0
1022,0
1023,0
1024,0
1025,1
1026,0
1027,0
1028,1
1029,0
1030,0
1031,0
1032,0
1033,1
1034,0
1035,0
1036,0
1037,0
1038,0
1039,0
1040,0
1041,0
1042,0
1043,1
1044,0
1045,0
1046,0
1047,0
1048,1
1049,0
1050,0
1051,0
1052,0
1053,1
1054,0
1055,0
1056,0
1057,1
1058,1
1059,0
1060,0
1061,0
1062,0
1063,0
1064,1
1065,0
1066,0
1067,0
1068,0
1069,0
1070,0
1071,0
1072,0
1073,0
1074,0
1075,1
1076,1
1077,0
1078,1
1079,1
1080,0
1081,0
1082,1
1083,0
1084,1
1085,1
1086,1
1087,1
1088,0
1089,0
1090,1
1091,1
1092,0
1093,0
1094,0
1095,0
1096,1
1097,0
1098,0
1099,1
1100,1
1101,1
1102,0
1103,1
1104,0
1105,0
1106,0
1107,1
1108,1
1109,0
1110,1
1111,0
1112,0
1113,0
1114,0
1115,0
1116,1
1117,0
1118,1
1119,0
1120,0
1121,0
1122,1
1123,0
1124,0
1125,1
1126,0
1127,0
1128,0
1129,1
1130,0
1131,0
1132,0
1133,1
1134,0
1135,0
1136,0
1137,0
1138,0
1139,1
1140,1
1141,0
1142,0
1143,0
1144,0
1145,0
1146,0
1147,1
1148,1
1149,1
1150,1
1151,1
1152,0
1153,1
1154,0
1155,0
1156,0
1157,0
1158,0
1159,1
1160,1
1161,1
1162,0
1163,0
1164,1
1165,0
1166,1
1167,1
1168,0
1169,0
1170,0
1171,0
1172,0
1173,0
1174,0
1175,1
1176,0
1177,0
1178,1
1179,0
1180,1
1181,1
1182,1
1183,1
1184,0
1185,0
1186,0
1187,0
1188,0
1189,1
1190,1
1191,1
1192,1
1193,1
1194,0
1195,1
1196,0
1197,1
1198,1
1199,1
1200,0
1201,1
1202,1
1203,1
1204,0
1205,0
1206,0
1207,1
1208,1
1209,0
1210,1
1211,1
1212,0
1213,0
1214,1
1215,1
1216,0
1217,1
1218,0
1219,1
1220,1
1221,1
1222,1
1223,0
1224,0
1225,0
1226,1
1227,0
1228,0
1229,1
1230,1
1231,0
1232,1
1233,1
1234,0
1235,0
1236,0
1237,1
1238,1
1239,1
1240,1
1241,0
1242,0
1243,1
1244,0
1245,0
1246,0
1247,0
1248,1
1249,0
1250,1
1251,1
1252,0
1253,0
1254,0
1255,0
1256,0
1257,0
1258,1
1259,1
1260,1
1261,1
1262,1
1263,0
1264,0
1265,0
1266,0
1267,1
1268,1
1269,0
1270,0
1271,0
1272,1
1273,1
1274,0
1275,1
1276,0
1277,0
1278,0
1279,1
1280,0
1281,1
1282,1
1283,1
1284,0
1285,1
1286,1
1287,0
1288,0
1289,0
1290,0
1291,1
1292,0
1293,0
1294,0
1295,0
1296,0
1297,0
1298,0
1299,1
1300,0
1301,0
1302,0
1303,0
1304,1
1305,0
1306,1
1307,0
1308,1
1309,1
